"Latitud (deg)","Longitud (deg)","Altitud (m)","Snsr1 (nT)",Snsr2(nT),"dB (nT)"
-34.333650957,-54.711702317,248,22996.8,22995,1.7999999999992724
-34.333485292,-54.711774287,249,22428.6,22526.1,-97.5
-34.333333245,-54.711826118,249,22852.5,22838.1,14.400000000001455
-34.333172948,-54.711909301,249,22785.6,22793,-7.400000000001455
-34.333014147,-54.711973031,249,22799.4,22809.9,-10.5
-34.33282921,-54.712049771,250,22832.4,22847.6,-15.19999999999709
-34.332929517,-54.712275029,251,22879.9,22868.2,11.700000000000728
-34.333129316,-54.712179304,250,22883.2,22878.7,4.5
-34.333301074,-54.712075322,250,22875.9,22871.9,4
-34.333435351,-54.711987824,250,22895.7,22868.4,27.299999999999272
-34.333597416,-54.711928729,250,22735.7,22761.5,-25.799999999999272
-34.333745653,-54.711874166,250,23051.7,23059,-7.299999999999272
-34.333821259,-54.712031497,251,23150.9,23130.8,20.100000000002183
-34.333658321,-54.712120676,252,22868.1,22873.1,-5
-34.33350355,-54.712207648,251,22781.9,22819.1,-37.19999999999709
-34.333301505,-54.712324416,252,22900.2,22901,-0.7999999999992724
-34.33309953,-54.712478583,251,22992.2,22949.6,42.60000000000218
-34.333194697,-54.712654908,252,22828.3,22837.5,-9.200000000000728
-34.333337678,-54.712573112,253,22859.9,22836,23.900000000001455
-34.333458478,-54.712466936,251,22857.2,22873.5,-16.299999999999272
-34.333735473,-54.712301692,250,23064.3,23056.1,8.200000000000728
-34.333924773,-54.712487939,252,23108.5,22984.9,123.59999999999854
-34.333790054,-54.712510045,253,22967.4,22791.8,175.60000000000218
-34.333601914,-54.712711121,253,22796.6,22795.3,1.2999999999992724
-34.333427718,-54.712791062,253,22820.8,23075.8,-255
