station,Latitude,Longitude,B(nT),"Altitude (m)"
0,-34.33341,-54.7124,22848,255.403
1,-34.33338,-54.7124,22847,255.652
2,-34.33326,-54.7125,22847,256.648
3,-34.33318,-54.7125,22848,256.264
4,-34.33308,-54.7125,22848,255.784
5,-34.33394,-54.7118,23007.6,249.96
6,-34.33377,-54.7118,23172.8,250.049
7,-34.33372,-54.7118,22745.4,250.076
8,-34.33347,-54.7118,22771.2,250.208
9,-34.33338,-54.7117,22831.6,249.356
10,-34.33361,-54.7117,22808.6,249.532
11,-34.3333,-54.7117,22826.6,249.083
12,-34.33332,-54.7118,22958.6,250.189
13,-34.33313,-54.7118,22924.4,248.894
14,-34.33308,-54.7118,22881.8,248.553
15,-34.33297,-54.7119,22835.8,248.868
16,-34.33305,-54.7118,22830.2,248.349
17,-34.33286,-54.7119,22889.2,248.15
18,-34.33278,-54.712,22847.8,248.747
19,-34.33283,-54.712,22887.8,249.059
20,-34.33305,-54.712,22866.8,250.432
21,-34.33322,-54.7119,22868.8,250.5
22,-34.33347,-54.712,22821.2,251.774
23,-34.33355,-54.712,22827,251.524
24,-34.33367,-54.712,22885.8,251.15
25,-34.33381,-54.712,22957.2,250.713
26,-34.33389,-54.712,23161.6,250.463
27,-34.33389,-54.712,23071.8,250.463
28,-34.33378,-54.712,23240.6,250.806
29,-34.33375,-54.7118,22824.8,250.06
30,-34.33361,-54.7118,22789,250.134
31,-34.33356,-54.7117,22810,249.494
32,-34.33347,-54.712,22919.8,251.774
33,-34.33344,-54.7122,22817.4,253.511
34,-34.33341,-54.7122,22957.4,253.682
35,-34.33303,-54.7123,22954.2,253.449
36,-34.33325,-54.7124,22926,255.616
37,-34.33327,-54.7124,22793,255.718
38,-34.33325,-54.7126,22849.4,257.212
39,-34.33333,-54.7125,22855.2,256.984
40,-34.333924773,-54.712487939,23108.5,251.299
41,-34.333821259,-54.712031497,23150.9,250.781
42,-34.333790054,-54.712510045,22967.4,252.604
43,-34.333745653,-54.711874166,23051.7,250.378
44,-34.333735473,-54.712301692,23064.3,252.269
45,-34.333658321,-54.712120676,22868.1,251.836
46,-34.333650957,-54.711702317,22996.8,249.577
47,-34.333601914,-54.712711121,22796.6,254.7
48,-34.333597416,-54.711928729,22735.7,250.936
49,-34.33350355,-54.712207648,22781.9,253.204
50,-34.333485292,-54.711774287,22428.6,250.004
51,-34.333458478,-54.712466936,22857.2,255.535
52,-34.333435351,-54.711987824,22895.7,251.781
53,-34.333427718,-54.712791062,22820.8,257.135
54,-34.333337678,-54.712573112,22859.9,257.305
55,-34.333333245,-54.711826118,22852.5,250.53
56,-34.333301505,-54.712324416,22900.2,255.146
57,-34.333301074,-54.712075322,22875.9,252.729
58,-34.333194697,-54.712654908,22828.3,257.418
59,-34.333172948,-54.711909301,22785.6,250.287
60,-34.333129316,-54.712179304,22883.2,252.754
61,-34.33309953,-54.712478583,22992.2,255.658
62,-34.333014147,-54.711973031,22799.4,249.925
63,-34.332929517,-54.712275029,22879.9,252.64
64,-34.33282921,-54.712049771,22832.4,249.604
